condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,2,1.69,0.36,1.33,7,10,40.4,65.61,15.96,-12.55
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,3,1.65,0.4,1.25,10,10,45.45,71.17,11.43,-8.47
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,4,2.56,0.53,2.03,8,9,45.88,63.93,15.42,-13.49
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,5,2.24,0.67,1.57,8,10,43.33,84.78,1.51,1.02
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,6,2.6,0.37,2.23,10,10,47.77,51.84,17.43,-14.86
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,1,2.47,0.54,1.93,8,9,45.98,78.75,3.16,1.25
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,2,2.53,0.59,1.94,10,10,48,81.03,3.39,-0.45
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,3,2.88,0.49,2.39,10,10,45.36,40.27,27.5,-22.69
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,4,2.25,0.38,1.87,10,10,52.87,54.71,20.48,-16.12
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,5,2.65,0.72,1.93,10,10,47.77,68.78,10.7,-8.33
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_BP,3,BP,6,1.96,0.52,1.44,10,10,45.92,83.74,2.49,0.91
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,1,3.47,0.6,2.87,12,10,51.84,53.18,11.64,-10.12
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,2,2.41,0.76,1.65,7,10,46.74,62.65,13.46,-10.19
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,3,2.64,0.65,1.99,12,10,47.17,26.43,33.58,-25.99
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,4,2.11,0.32,1.79,12,11,43.12,77.61,7.08,-3.87
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,5,1.96,0.44,1.52,10,10,46.54,52.55,22.3,-18.11
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_BP,4,BP,6,2.17,0.32,1.85,10,10,46.01,48.22,21.17,-17.09
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,1,3.71,0.61,3.1,7,11,42.98,86.24,-2.15,6.58
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,2,3.9,0.68,3.22,7,13,44.62,90.57,-0.85,3.83
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,3,3.36,0.63,2.73,7,11,42.36,87.73,-0.53,2.32
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,4,3.64,0.47,3.17,7,14,44.06,85.13,-2.29,7.68
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,5,4.54,0.43,4.11,7,11,40.88,90.19,-0.7,3.84
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KW,1,KW,6,2.94,0.85,2.09,10,15,41.22,91.9,-0.79,3.35
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,1,4.4,0.65,3.75,10,14,47.12,82.71,0.02,2.05
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,2,1.01,0.49,0.52,10,14,48.55,89.11,-0.94,5.4
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,3,1.61,0.69,0.92,8,15,51,91.42,0.03,2.6
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,4,3.09,0.64,2.45,8,14,44.21,91.76,0.14,2.45
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,5,3.72,0.4,3.32,12,14,40.23,91.54,0.17,2.49
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KW,2,KW,6,3.58,0.61,2.97,10,13,42.47,91.03,-0.11,3.56
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,1,3.81,0.53,3.28,10,11,44.31,82.02,-0.44,4.25
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,2,3.12,0.66,2.46,8,10,42.65,91.11,-0.13,2.6
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,3,5.42,0.69,4.73,12,14,45.77,85.1,-0.69,4.87
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,4,2.71,0.38,2.33,7,10,48.26,90.76,-0.09,2.87
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,5,2.91,0.63,2.28,8,10,45.54,91.26,-0.59,4.68
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KW,3,KW,6,3.73,0.42,3.31,12,14,53.33,88.62,-1.13,5.2
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,1,4.2,0.45,3.75,12,10,41.12,91.34,-1.67,6.8
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,2,3.86,0.39,3.47,10,10,45.54,87.86,-2.96,9.99
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,3,4.26,0.77,3.49,12,14,49.66,89.55,-0.73,3.93
